BMI	Lose Weight: strive to lose 1-2 pounds per week by reducing your intake by 500-1000 calories each day. Healthy eating and regular physical activity are keys to achieving and maintaining a healthy weight. Eat wisely and choose a variety of low-calorie, high nutrition foods and beverages in the basic food groups. Consider getting on a weight maintenance program consisting of dietary therapy, physical activity, and behavior therapy. Regularly update your VI to track progress.
RHR	A heart rate is considered normal if the resting rate is between 60 and 100 beats per minute. Research has found that a resting heart rate near the top of the 60 to 100 range can increase your risk for cardiovascular disease and even early death. Keeping your cholesterol levels in check is one way to lower your heart rate. High levels restrict blood flow through the arteries and damage blood vessels, which can make your heart beat faster than normal to move blood through the body. Another reliable way to lower your resting heart rate is to exercise. Even small amounts of exercise can make a change. However, the intensity of the exercise is key. One study found that just one hour per week of high-intensity aerobic training (about 66% of maximum effort) lowered RHR more efficiently than a low-intensity effort (33% of max effort).
DIA	Commit to losing some weight. Blood pressure often increases as weight increases. Being overweight also can cause disrupted breathing while you sleep (sleep apnea), which further raises your blood pressure. Weight loss is one of the most effective lifestyle changes for controlling blood pressure. In general, you may reduce your blood pressure by about 1 millimeter of mercury (mm Hg) with each kilogram (about 2.2 pounds) of weight you lose.
SYS	Commit to losing some weight. Blood pressure often increases as weight increases. Being overweight also can cause disrupted breathing while you sleep (sleep apnea), which further raises your blood pressure. Weight loss is one of the most effective lifestyle changes for controlling blood pressure. In general, you may reduce your blood pressure by about 1 millimeter of mercury (mm Hg) with each kilogram (about 2.2 pounds) of weight you lose.
HDL	Increase physical activity and adjust your diet to reduce cholesterol and improve your heart health. Reduce your consumption of saturated fats found primarily in red meat and full-fat dairy products; eliminate trans fats, sometimes listed on food labels as partially hydrogenated vegetable oil.
LDL	Increase physical activity and adjust your diet to reduce cholesterol and improve your heart health. Reduce your consumption of saturated fats, found primarily in red meat and full-fat dairy products; eliminate trans fats, sometimes listed on food labels as partially hydrogenated vegetable oil, and are often used in margarines and store-bought cookies, crackers and cakes; eat foods rich in omega-3 fatty acids such as salmon, mackerel, herring, walnuts and flaxseeds;  increase soluble fiber which is found in such foods as oatmeal, kidney beans, brussels sprout, apples and pears; and consider adding whey protein as a supplement.  
TRI	Exercise regularly and adjust your diet to lower triglycerides, an important measure of heart health. The same lifestyle choices that promote overall health can also help lower your triglycerides. High triglycerides may contribute to hardening of the arteries or thickening of the artery walls (arteriosclerosis) - which increases the risk of stroke, heart attack and heart disease. Exercise regularly, avoid sugar and refined carbohydrates, chose healthier fats found in plants, lose weight and limit your alcohol consumption.
MEDCONDS	Your medical conditions impact your quality of life. Gradually seek to adjust your lifestyle habits to improve some or all of your conditions. Doing so may not only help you get to a happier and healthier state but also reduce your medical costs.
NUMMEDS	Be aware of the dangers resulting from the use of multiple drugs simultaneously, also called polypharmacy. It can lead to emergency room visits and hospitalizations, worsen a disease state or cause additional physiological problems. If you're having a hard time managing your drug regimen, talk to your doctors office and talk to your pharmacist. 
TOBACCO180	Make a serious effort to quit smoking. The benefits occur quickly: Within 20 minutes of quitting, your blood pressure and heart rate recover from the cigarette induced spike. Within three months of quitting, your blood circulation and lung function begin to improve and within a year of quitting your risk of heart disease is half that of a smoker. Tobacco cravings or urges to smoke can be powerful, but you're not at the mercy of these cravings. When an urge to use tobacco strikes, remember that although it may be intense, it will probably pass within five to 10 minutes. 
TOBACCO7	Make a serious effort to quit smoking. The benefits occur quickly: Within 20 minutes of quitting, your blood pressure and heart rate recover from the cigarette induced spike. Within three months of quitting, your blood circulation and lung function begin to improve and within a year of quitting your risk of heart disease is half that of a smoker. Tobacco cravings or urges to smoke can be powerful, but you're not at the mercy of these cravings. When an urge to use tobacco strikes, remember that although it may be intense, it will probably pass within five to 10 minutes. 
NUMDRINKS	Recommendation coming soon!
NUMALCDRINKS	Consider moderating your consumption of alcohol. Excessive drinking can increase your risk of serious health problems, including cancer, heart muscle damage, high blood pressure, stroke, liver damage and others. Moderate alcohol use for healthy adults means up to one drink a day for women of all ages and men older than age 65, and up to two drinks a day for men age 65 and younger.
NUMCAFDRINKS	Try to moderate your coffee intake. A study, published in the American Journal of Clinical Nutrition, suggests that drinking six or more cups of coffee per day may increase your risk of heart disease by up to 22%. Coffee is rich in antioxidants and may reduce the risk of heart disease, stroke, and diabetes but only if consumed in moderation.
NUMWATERDRINKS	Make it a priority to increase your daily consumption of water. Water is your body's principal chemical component and makes up about 60 percent of your body weight. Your body depends on water to survive. Every cell, tissue and organ in your body needs water to work properly. Studies have produced varying recommendations over the years. Individual water needs depend on many factors, including your health, how active you are and where you live. Health authorities commonly recommend eight 8-ounce glasses, which equals about 2 liters, or half a gallon. This is called the 8×8 rule and is reasonable rule of thumb.
NUMFRUITANDVEG	Recommendation coming soon!
NUMFRUITSSERVS	Try to increase your daily intake of fruit. There are many studies indicating that fruit intake is associated with a lower risk of many serious diseases, including heart disease, stroke and type 2 diabetes. Research indicates the greatest benefit come from eating 10 portions of fruits and vegetables a day. Fruit is high in important nutrients like vitamins, minerals, fiber and antioxidants. Eat many different types to get the most benefits.
NUMVEGSERVS	Try to increase you daily intake of vegetables. Vegetables are rich in many important nutrients, including vitamins, minerals, fiber and antioxidants. Eat a variety of veggies to benefit from a range of nutrients. Eating around 8 ounces (231 grams) of vegetables or up to a combined 18 ounces (500 grams) of fruits and vegetables per day may help reduce the risk of heart disease and increase your lifespan.
DAYSEX	Try to be active most days of the week since physical activity has broad health benefits. Guidelines suggest to aim for at least 30 minutes of moderate physical activity every day. But even if you don't have 30 minutes, being active for some time is better than not being active at all.
EXERCISE	Get at least 150 minutes of moderate aerobic activity and/or 75 minutes of vigorous aerobic activity a week. Add moderate- to high-intensity muscle-strengthening activity (such as resistance or weights) on at least 2 days per week. Gain even more benefits by being active at least 300 minutes (5 hours) per week. Increase total minutes and intensity gradually over time. Greater amounts of exercise will provide even greater health benefit. But even small amounts of physical activity are helpful. Vigorous aerobic exercise includes activities such as running and aerobic dancing. 
DAYSBAL	Consider adding some balance exercises to your workout routine. Balance exercise is one of the four types of exercise along with strength, endurance and flexibility. You need good balance to do just about everything and balance training improves the health, balance, and performance of everyone from beginners to advanced athlete. Balance exercises can be done every day or as many days as you like and as often as you like. Preferably, older adults at risk of falls should do balance training 3 or more days a week 
MINSBAL	Consider spending more time on balance exercises each week.
DAYSFLEX	Consider regular flexibility exercises. Stretching promotes flexibility and helps your joints maintain a healthy range of motion—and in doing so, also lowers the chances of joint and muscle strain. Stretching should be performed a minimum of three days a week for 5-10 minutes at a time. For maximum effectiveness you can stretch 5-7 days per week. Perform 1-2 sets per muscle group. For optimal results, aim to spend a total of 60 seconds on each stretching exercise.
MINSFLEX	Consider spending more time on flexibility exercises each week.  Stretching should be performed a minimum of three days a week for 5-10 minutes at a time.
DAYSRES	Engage in strength training exercises for all major muscle groups at least two times a week. Aim to do a single set of each exercise, using a weight or resistance level heavy enough to tire your muscles after about 12 to 15 repetitions
SETSRES	Engage in strength training exercises for all major muscle groups at least two times a week. Aim to do a single set of each exercise, using a weight or resistance level heavy enough to tire your muscles after about 12 to 15 repetitions.
HOURSNONSED	Make it a priority to be more active throughout the day. A sedentary life can affect your health in ways you may not realize and is often the cause or a major contributing factor to a wide range of health problems. One way to combat the health risks of a sedentary lifestyle is to work small bits of exercise into your daily routine. Guidelines suggest you should be active at least 30 min every day, with greater benefits if you can exceed that.
PAINLIFE	Consider talking to your doctor about your pain. Find ways to manage your pain and get back to a more active and healthy lifestyle. 
HEALTHLIFE	Recommendation coming soon!
PERCEIVEDHEALTH	Commit to improving your overall health. Consider using the Vitality Index as a tool to measure your progress. There are many different ways to start this journey from improving your physical activity, your nutrition and your social interactions. Start with what seems easiest to you. The first step is the hardest but once you start and you begin to see and feel the benefits it will get easier. 
RELIEDOTHERS	Recommendation coming soon!
FINSTRESS	There are a number of ways to deal with financial stress: (1) Create and stick to a budget. It is the best tool you have to get control of your finances and stop worrying about money, (2) Try to build an emergency fund. Building an emergency fund may seem tough at first, especially if you are struggling to make ends meet each month. Start by putting a small amount, whether it's $10 or $100, in the bank from each paycheck, and any leftover money you have in your other spending categories at the end of the month so that you can build up your emergency fund. (3)  If you are really struggling with getting a handle on your budget and spending issues, do not be afraid to get outside help. You can take classes on basic money management and investing, that will help you plan out a budget and do the things you need to succeed financially.
COMMUNITYCOH	Recommendation coming soon!
COMMUNITYINTER	Recommendation coming soon!
PRINETWORK	Make an effort to connect more often with close friends. Friends play a significant role in promoting your overall health. Adults with strong social support have a reduced risk of many significant health problems, including depression, high blood pressure and an unhealthy body mass index (BMI). Studies have even found that older adults with a rich social life are likely to live longer than their peers with fewer connections.
TOTALNETWORK	Make an effort to connect more with people in your community. Good social connections play a significant role in promoting your overall health. Adults with strong social support have a reduced risk of many significant health problems, including depression, high blood pressure and an unhealthy body mass index (BMI). Studies have even found that older adults with a rich social life are likely to live longer than their peers with fewer connections.
SOCIALSAT	Recommendation coming soon!
EMOTIONALENRICH	Having gratifying, non-stressful, emotionally enriching experiences is crucial to well-being and happiness. Emotionally enriching experiences include owning a pet, being married or having a long-term physical or emotional partnership ansd time spent alone. Romantic relationships are important for our happiness and well-being. Communication is a key piece of healthy relationships. Healthy couples make time to check in with one another on a regular basis. Recognize the importance of intimacy. Intimacy is a key component not just to a healthy relationship but to a healthy life. Every hug, every kiss, every touch triggers an emotional connection and strengthens your relationships. Time spent alone is also important and can be an emotionally enriching experience. It can provide an escape from the judgment of others and time to process feelings and thoughts. Engaging in solitude can afford an opportunity for self-reflection regarding problems and decision-making.
GROUPEVENTS	Make an effort to be socially more engaged. Socializing can provide a number of benefits to your physical and mental health. Interacting with others boosts feelings of well-being and decreases feelings of depression. Research has shown that one sure way of improving your mood is to work on building social connections. You may even lower your risk of dementia.   Improve your social health: A growing body of research shows that social health is just as important, if not more, as physical health. Studies have shown that social support—whether it comes from friends, family members or a spouse—is strongly associated with better mental and physical health. A robust social life, these studies suggest, can lower stress levels; improve mood; encourage positive health behaviors and discourage damaging ones; boost cardiovascular health; improve illness recovery rates; and aid virtually everything in between.  
